S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name,Type of work,,What is it,Number of bids,Amount,Bid winner,Org name,Tender ref number,Tender description,Tender type,number of bids received,name of bidder,address of bidder,contract value,tender published date
1,19-Jan-2021 12:00 AM,01-Jan-2021 5:00 PM,"Upgra.Modific.Reno.of Room No.321,340,345,348,355,360,368 UHC in Patho.Blod.eptt.at MAMC NDunder COVID/ 105/EE(E)/HMED(C)/PWD/2020-21 / 2021_PWD_198157_1",NCT of Delhi,Works,,Covid detection,8,796075,"M/S COOL RAYS,R.C.C. ENTERPRISES,Turant Electrical and Engg Works,V.S.ENTERPRISES,Saranam Associates,Mohd. Dilshad,A.V.Enterprises,CHANDRAMA SINGH",Public Works Department||CE/SE/B2-B24||EE/B244(N),105/EE(E)/HMED(C)/PWD/2020-21,"Upgra.Modific.Reno.of Room No.321,340,345,348,355,360,368 UHC in Patho.Blod.eptt.at MAMC NDunder COVID",Works,8,"M/S COOL RAYS,R.C.C. ENTERPRISES,Turant Electrical and Engg Works,V.S.ENTERPRISES,Saranam Associates,Mohd. Dilshad,A.V.Enterprises,CHANDRAMA SINGH",,796075,
2,19-Jan-2021 12:00 AM,24-Dec-2020 5:00 PM,Exclusively for COVID-19 patients in current affairs in Orthopedic Block in Basement for installation of energy efficient air-conditioning plant at L.N. H/ 101/EE(E)/HMED(C)/PWD/2020-21 / 2020_PWD_197854_1,NCT of Delhi,Works,,Covid Ward,5,5056464,SKYLINE AIR CONDITIONING ENGINEERS PVT. LTD.,Public Works Department||CE/SE/B2-B24||EE/B244(N),101/EE(E)/HMED(C)/PWD/2020-21,Exclusively for COVID-19 patients in current affairs in Orthopedic Block in Basement for installation of energy efficient air-conditioning plant at L.N. H,Works,5,SKYLINE AIR CONDITIONING ENGINEERS PVT. LTD.,,5056464,
3,19-Jan-2021 12:00 AM,23-Dec-2020 5:00 PM,"1.Electrification work in Corona testing lab in Pathology Department at MAMC, under COVID-19/ 100/EE(E)/HMED(C)/PWD/2020-21 / 2020_PWD_197826_1",NCT of Delhi,Works,,Covid Detection,8,3398009,Saranam Associates,Public Works Department||CE/SE/B2-B24||EE/B244(N),100/EE(E)/HMED(C)/PWD/2020-21,"1.Electrification work in Corona testing lab in Pathology Department at MAMC, under COVID-19",Works,8,Saranam Associates,,3398009,
4,31-Dec-2020 12:00 AM,16-Dec-2020 5:00 PM,Installation of Hanger structure shed COVID Godown Branding/ SPG/N-72/20-21 / 2020_ZPHD_309361_1,West Bengal,Works,,Covid Information,3,1705504.5,"A S CONSTRUCTION,ADRIJA SANKAR PRAMANIK,R. N. ENTERPRISE",Zilla ParishadZilla ParishadSouth 24-Parganas,SPG/N-72/20-21,Installation of Hanger structure shed COVID Godown Branding,Works,3,"A S CONSTRUCTION,ADRIJA SANKAR PRAMANIK,R. N. ENTERPRISE",,1705504.5,
5,23-Dec-2020 12:00 AM,10-Dec-2020 5:00 PM,Repair and Renovation to HEMR Building for Walking In Cooler Covid-19 at DD Office Thane Dist Thane/ IDW/NHM/Thane01/06/2020-21 / 2020_NHM_627430_1,Maharashtra,Works,,Covid Detection,4,1097320,Sai Constrruction,NHM,,,,,,,,
6,07-Jan-2021 12:00 AM,10-Dec-2020 11:00 AM,Estimate No. 694/NGP/2020 21 Providing 125 KVA DG set for Covid-19 to Govt. Medical college building at Nagpur./ eTender Notice No.63/2020-21 / 2020_PWDM_626828_4,Maharashtra,Works,Goods,Covid Ward,3,1825471,NEW TECH,PWD,,,,,,,,
7,19-Jan-2021 12:00 AM,27-Nov-2020 6:00 PM,Replacement of Chiller in AC plant at Orthopedic Block for COVID19 Patient at L.N. Hospital New Delhi/ 89/EE(E)/HMED(C)/PWD/2020-21 / 2020_PWD_197040_1,NCT of Delhi,Works,Services,Covid Ward,6,5442795,SAI AIRCON ENGINEERS,PWD,,,,,,,,
8,17-Dec-2020 12:00 AM,26-Nov-2020 5:45 PM,BALANCE WORK OF REPAIRS AND RENOVATION OF TOILET BLOCKS AND PARTITION ON 1ST AND 2ND FLOOR OF COVID-19 WARDS (ADDITIONAL 400 HUD BEDS) IN MAIN HOSPITAL BUILDING AT GMCH NAGPUR./ pwc/ngp/IUM/20-1/2020-21 / 2020_PWR_624519_1,Maharashtra,Works,,Covid WArd,10,2547313.13,PRATIK PRAMOD MADANKAR,PWD,,,,,,,,
9,15-Dec-2020 12:00 AM,24-Nov-2020 1:00 PM,Dead Body Cover for Covid Patients/ Ref No 16675 Dated 21-11-20 NIT4 / 2020_SNMCJ_206262_1,Rajasthan,Goods,,Covid Body Removal,3,500000,"Deepak sales corporation,Anant enterprises,jain sales corporation at ~1000 rs per sheet",PWR,,,,,,,,
10,01-Jan-2021 12:00 AM,18-Nov-2020 5:00 PM,Replacement of outlived battery in existing UPS installed at Casualty OT Gyane Block at L.N. H N.D reserved for COVID19/ 82/EE(E)/HMED(C)/PWD/2020-21 / 2020_PWD_196776_1,NCT of Delhi,Works,Services,Covid Ward,9,1773793,Vikas Trading Company,PWD,,,,,,,,
11,10-Dec-2020 12:00 AM,16-Nov-2020 12:00 PM,"Maintenance of Quarantine Centre for health care workers for Covid-19 at GBP Hospital, Agartala, West Tripura (CIVIL PART)/ 57/EE/RDAD/2020-21 Dt- 13/11/2020 / 2020_CERDD_13893_1",Tripura,Works,Services,Covid HCW,2,3485556,"DIPEN PAUL,SUSHANTA GOPE",CERDD,,,,,,,,
12,11-Jan-2021 12:00 AM,13-Nov-2020 6:00 PM,"Thorough renovation of cabins at 1st floor and 2nd floor of Fraser Building in the wake of COVID-19, within the compound of NRSMCH during 2020-21/ WBPWD / KCHD / EE-I / NIeT_13/ 2020 - 2021 / 2020_WBPWD_305152_1",West Bengal,Works,,Covid Ward,9,1124123,M/S C.B. TRADERS,PWD,,,,,,,,
