AOC date,Published date,Tender description,Org name,Area,Type of Work,Purchase type,Contract value,Supplier,Number of bids,type of tender,
06-Jan-2021 12:00 AM,23-Dec-2020 9:00 AM,JOB WORK FOR REPAIR/MODIFICATION FOR COVID-19 FACILITY TO DENTAL SURGICAL ROOM TO PROVIDING VACCUME PRESSURE AT 60 FD HOSP AGRA UNDER GE (WEST) AGRA/ 3340/Q/25/E3/2020-21 / 2020_MES_401961_2,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE LUCKNOW ZONE - MES||CWE AGRA - MES||GE (W) AGRA - MES,Agra,Works,Covid ward,45000,M/s J S &amp SONS,4,,
29-Dec-2020 12:00 AM,16-Dec-2020 9:00 AM,JOB WORK FOR REPAIR OF DUCTING OF PGI SHEET WITH EXHAUST FANS IN COVID-19 PATIENT CARE AREA UNIT WARD AT MH AGRA UNDER GE (WEST) AGRA/ 3340/Q/26/E3/2020-21 / 2020_MES_403854_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE LUCKNOW ZONE - MES||CWE AGRA - MES||GE (W) AGRA - MES,Agra,Works,Covid ward,138400,M/S SHRINATH CONTRACTION,7,,
01-Feb-2021 12:00 AM,9-Dec-2020 3:20 PM,PROVISION OF RESPIRATORY OPD FOR COVID 19 AT MH MHOW UNDER PARA 35 OF DWP 2007 UNDER GE M INF SCHOOL MHOW/ CA No CWE/Mhow/36(T) OF 2020-21 / 2020_MES_402151_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE JABALPUR ZONE - MES||CWE MHOW - MES,Jabalpur,Works,Covid ward,1788746.94,Chitragupta Construction,3,,
23-Jan-2021 12:00 AM,5-Dec-2020 9:00 AM,COVID-19 Related Drugs and Consumables/ 8513/MS/DGLP/COVID-19/2020-21 / 2020_ARMY_400940_1,IHQ of MoD (Army)-(OSCC)||South Western Comd-IHQ of MoD (Army)-(OSCC)||CORPS 2-South Western Comd-IHQ of MoD(Army)-(OSCC)||MED UNIT 9-IHQ OF MOD(Army),South Western,Goods,Covid Treatment,811088,"AAP PHARMA,SRI SAI AGENCIES,M/S BHARIUNATH MEDICAL AGENCY,BHARGAVA MEDICAL STORE,peroleaf pharma,SHREE ASHTAVINAYAK SALES CORPORATION,SHAAN ENTERPRISES,SARA TRADING COMPANY",12,,"gloves - 10.8
PPE -230
Viral transport medium - 1351
Sodium hypochlorite - 16/ltr
disposable gown - 38"
07-Jan-2021 12:00 AM,03-Dec-2020 9:00 AM,PROVN OF CERTAIN ELECTRICAL WORK FOR COVID-19 PATIENT ISOLATION WARD IN 188 MH AT LIKABALI MIL STN/ 3003/QJ/07/E3 / 2020_MES_399568_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE SHILLONG ZONE - MES||CWE HQ 137 WE - MES||GE 872 EWS - MES,Likbali,Works,Covid ward,194430,M/S SINGH TRADERS,2,,
09-Jan-2021 12:00 AM,25-Nov-2020 12:00 PM,PROVN OF 2X COVID ISOLATION FACILITY WITH CONNECTED WORKS FOR PATIENTS AND HEALTHCARE WORKERS AT CH (NC) UNDER GE(NORTH) UDHAMPUR/ CWE/U(N)-84/2020-21 / 2020_MES_397954_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE NC AND CE UDHAMPUR ZONE - MES||CWE UDHAMPUR - MES,Udhampur,Works,Covid ward,2822624,SHIVAE CONSTRUCTION,3,,
23-Jan-2021 12:00 AM,24-Nov-2020 12:00 AM,RAW MATERIAL-SANITIZER-COVID19/ 20000012-HB-11919 / 437508,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Prevention,172500,VIJAYA ENGINEERING SERVICES,3,limited,
14-Dec-2020 12:00 AM,16-Nov-2020 6:00 PM,Operation of pump and valves for Residential building and hostel for COVID-19 Hospital at new Medical college site (For a period of 240 days)/ NSCH/SO(C)/e-Tender/2020-21/13 Dt.14/11/2020 / 2020_MCL_188025_1,Mahanadi Coalfields Limited||NSCH TALCHER||NSCHT_CIVIL||CIVIL,Mahanadi,Works,Covid Allied,525256,SANDEEP KUMAR DASH,7,,
11-Dec-2020 12:00 AM,13-Nov-2020 12:00 AM,COVID-19 CAMPAIGN/ 20000107-HB-12351 / 413791,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Information,350000,"HIND GRAPHICS, AURANGABAD",2,Limited,
13-Jan-2021 12:00 AM,05-Nov-2020 6:55 PM,"Roof Grading, courtyard repairing and other allied work for Covid Ward at Area Welfare Hospital under G.M. unit of Kanhan Area/ ka3450-civ-s-e033 of 2020-21 / 2020_WCL_187142_2",Western Coalfields Limited||Kanhan||Kanhan_Civil,Kanhan,Works,Covid Allied,430440.4,MOHAMMAD IMRAN SIDDIQUE,4,,
12-Nov-2020 12:00 AM,05-Nov-2020 12:45 PM,"Procurement of COVID-19 Rapid Antigen Test Kits for Central Medical Inspection Room, Brichgunj Military Station/ 6017/OM Expdr/14/JSMH / 2020_IDS_595176_1",Integrated Defence Staff||ANC Port Blair - IDS,Port Blair,Goods,Covid Detection,569590,M/s United International,2,,
18-Dec-2020 12:00 AM,03-Nov-2020 6:00 PM,PROVISION OF NECESSARY INFRASTRUCTURE AND UTILITIES FOR COVID ISOLATION WARD AT MH UNDER GE SATWARI/ CWE/JP-61/2020-21 / 2020_MES_391866_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC AND CE PATHANKOT ZONE - MES||CWE JAMMU - MES,Jammu,Works,Covid Ward,2494204.75,"M/S Shesh Paul Gupta,M/S ANIL MAHAJAN,M/S Sukhmani Construction Co.",3,,
17-Nov-2020 10:45 AM,03-Nov-2020 9:47 AM,RATE CONTRACT FOR COVID RELATED SANITATION WORK AND RELATED ACTIVITIES IN PDPP/ 1000359743 / 78236,Bharat Petroleum Corporation Limited,,Services,Covid Prevention,896800,"JIMMY M M CONTRACTOR,",13,Limited,
16-Jan-2021 12:00 AM,22-Oct-2020 5:00 PM,Providing sanitization services in view of Covid-19 at Panipat Refinery and Petro chemical Complex Township/ RPRC204349 / 2020_PR_125856_1,IndianOil||Refineries||Panipat Refinery||Contracts,Panipat,Services,Covid Prevention,2194062.18,S M CHYALAG AND CO,14,,
24-Nov-2020 12:00 AM,20-Oct-2020 11:00 AM,PROVN OF EMERGENCY WORKS ON URGENT MEDICAL GROUNDS FOR COVID 19 ISOLATION WARD OF MH DALHOUSIE/ CWE/Y-95/2020-21 / 2020_MES_378649_2,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC AND CE PATHANKOT ZONE - MES||CWE YOL - MES,Pathankot,Works,Covid ward,2572345,"Roshan Lal Thakur,m/S VaGupta,M/s. Rishav Sood,Havish Construction",4,,
27-Oct-2020 12:00 AM,19-Oct-2020 12:00 AM,Covid 19 Precautions for CBT/ 20000358-HA-46002 / 391312,HINDUSTAN PETROLEUM CORPORATION LTD,,Services,Covid Prevention,1584000,NSEIT LIMITED,1,Limited,
11-Nov-2020 12:00 AM,16-Oct-2020 12:00 AM,BANNERS FOR COVID CAMPAIGN/ 20000027-HB-12109 / 398278,HINDUSTAN PETROLEUM CORPORATION LTD,,Services,Covid Information,383400,MOHAN ART,5,Limited,
13-Oct-2020 9:00 AM,13-Oct-2020 9:00 AM,COVID-19 RT-PCR TEST/ N0ATX00302 / W220X00001,BHEL Hyderabad,Hyderabad,,,,DR REMEDIRS LABS PVT LTD,,,
21-Jan-2021 12:00 AM,12-Oct-2020 4:30 PM,Fumigation with Sodium Hypochlorite for COVID 19 in MUMBAI PORT TRUST Estate for a Period of Three Months/ CE.T.80/2020 Fumigation / 2020_MBPT_590013_1,Mumbai Port Trust||Civil Engineering - MBPT,Mumbai,Works,Covid Prevention,1448733.79,"CREATIVE CONSTRUCTIONS,S.K. construction,H.K. Transport,F.A. ENTERPRISES,M I ENTERPRISES",5,,
23-Nov-2020 12:00 AM,06-Oct-2020 6:00 PM,Laying of 80mm dia GI pipe line from Jagannath pump house(Pressure filter) to medical college campus (Newly constructed water sumps by NBCC) for supply of water to the residential buildings of COVID-19 Hospital at NSCH CH Area Talcher./ NSCH/SO(C)/e-Tender/2020-21/08 Dt-06/10/2020 / 2020_MCL_184555_1,Mahanadi Coalfields Limited||NSCH TALCHER||NSCHT_CIVIL||CIVIL,Mahanadi,Works,Covid Allied,984731,PRAFULLA DASH,8,,
22-Dec-2020 12:00 AM,05-Oct-2020 6:00 PM,PROVN OF ADDL OXYGEN PIPE LINE AND SUCTION SYSTEM FOR COVID-19 (I AND II WARDS) OF MILITARY HOSPITAL UNDER GE (WEST) JABALPUR/ 8280/E8 / 2020_MES_383624_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE JABALPUR ZONE - MES||CWE JABALPUR - MES||GE (W) JABALPUR - MES,Jabalpur,Works,Covid Treatment,872400,M/s SHIVA BUILDERS,6,,
19-Oct-2020 12:00 AM,28-Sep-2020 6:00 PM,"Upkeep and Maintenance of COVID WARD (including stairs, corridor) by cleaning toilet, floors, dado, windows, doors, furniture including collection etc. from various place, bed pans etc. with necessary materials at GNH (ref. NIT)./ CCL/TA/20-21/e-tender/255-62 dated 28.09.2020 / 2020_CCL_183911_1",Central Coalfields Limited||HQ CSR N TA,,Works,Covid Prevention,894000,Roshan Kumar Jha,5,,
08-Dec-2020 8:07 AM,25-Sep-2020 7:43 PM,COVID RT PCR TEST/ 1000358077 / 77218,Bharat Petroleum Corporation Limited,,Goods,Covid Detection,600000,"Metropolis Healthcare Ltd,",1,Limited,
03-Oct-2020 12:00 AM,17-Sep-2020 9:10 AM,Job contract for spraying of disinfectant at NTPC RSTPS in view ofCOVID-19 outbreak./ NTPC/SSC - SR(Simhadri)/9900208651 / 2020_NTPC_41579_1,NTPC Limited||Southern Region Headquarter,Simhadri,Service,Covid Prevention,314038,"S.THIRUPATHI REDDY,R SREE RAMA RAO,M/S G VENKATA SWAMY,SRI VENKATESHWARA SC LO LCCS LTD,KRUSHI CONSTRUCTIONS",5,,
10-Nov-2020 12:00 AM,16-Sep-2020 4:00 PM,"Supply of packets of essential Groceries and Protective items for COVID-19 under CSR on FOR Destination basis to CMPDI, RI-I, Asansol)/ CMPDI/RI-1/SnP/CSR/20 21/150/156 dt. 16.09.20 / 2020_CMPDI_182761_1",Central Mine Planning and Design Institute Limited||Regional Institute - I||RR-I-Environment Division,Asanol,Goods,Covid Prevention,615000,CONCRETE SOLUTIONS,4,,
22-Oct-2020 12:00 AM,14-Sep-2020 6:55 PM,"Electrical Works for Jan Aushadhi Kendra, Security Posts, Watch Towers and COVID Wards at NSC, Jayant/ NCL/NSC/EM/E-TENDER/20/875 dated 14.09.2020 / 2020_NCL_182644_1",Northern Coalfields Limited||NSC Hospital,,Works,Covid Allied,149417.5,M/S SHYAM ASSOCIATE,3,,
10-Oct-2020 12:00 AM,10-Sep-2020 6:55 PM,CA NO. CWE SGNR-12 OF 2020-21 PROVISION OF COVID RELATED INFRASTRUCTURE OF MILITARY HOSPITAL AT MILITARY STATION SRI GANGANAGAR (3RD CALL)/ CA NO. CWE SGNR - 12 OF 2020-21 / 2020_MES_353070_3,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE BATHINDA ZONE - MES||CWE GANGANAGAR - MES,Bathinda,Works,Covid ward,3176978,M/s SHIVA BUILDERS,3,,
20-Jan-2021 12:00 AM,07-Sep-2020 6:55 PM,Sanitization work in view of Covid-19 in mine area office premises including workshop for 365 days at Krishnashila Project/ KSL/Civil/Tender/2020-21/ETN15 Dt 03.09.2020 / 2020_NCL_182076_1,Northern Coalfields Limited||Krishnashila Project,,Works,Covid Prevention,562481.29,SRB BROTHERS,3,,
09-Oct-2020 12:00 AM,05-Sep-2020 6:00 PM,ADDITION ALTERATION OF EXISTING SURGICAL WARD TO TWO BEDDED ICU AND TEN BEDDED HDU FOR COVID19 AT BLDG NO P1 AT MH IN AGE BR II UNDER GE DANAPUR CANTT/ GE/DNR/T-42 OF 2020-21 / 8419/E8 / 2020_MES_375146_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE JABALPUR ZONE - MES||CWE RANCHI - MES||GE DANAPUR - MES,Jabalpur,Works,Covid ward,4143508.7,M/s KUMAR ENTERPRISES,5,,
23-Oct-2020 12:00 AM,05-Sep-2020 12:00 AM,COVID-19 SANITIZATION MATERIAL/ 20000028-HB-11108 / 389727,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Prevention,171000,VIDYA SAGAR CONTRACTOR,7,Limited,
24-Sep-2020 12:00 AM,01-Sep-2020 6:00 PM,PROVN OF ISOLATION FACILITY AND 1 X FLU OPD FOR COVID-19 PATIENTS AT MH SHIMLA JUTOGH CANTT UNDER GE JUTOGH/ GE/JUT-30 OF 2020-21 / 2020_MES_366669_2,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC AND CE CHANDIGARH ZONE - MES||CWE SHIMLA HILLS - MES||GE JUTOGH - MES,Chandigarh,Works,Covid ward,3763600,"M/S kuldeep kumar khullar,M/S Jaswant Kumar Aggarwal,m/s jupiter builders,PRITPAL SINGH",4,,
08-Dec-2020 12:00 AM,01-Sep-2020 9:00 AM,SUPPLY OF CONSUMABLES ITEMS FOR COVID 19 TESTING FOR THE DEPARTMENT OF MICROBIOLOGY / PUR1(5)/20-21/eTender/MICRO / 2020_JIPMP_580573_1,Jawaharlal Institute of Postgraduate Medical Education and Research JIPMER- Puducherry Central Autonomous Body under MOH and FW- GOI)||Purchase Section (Puducherry),Pondicherry,Goods,Covid Detection,4905543,"SUBRA SCIENTIFIC COMPANY,ORBIT HEALTHCARE PRODUCTS,THE PONDICHERRY SCIENTIFIC COMPANY",6,,
24-Dec-2020 12:00 AM,29-Aug-2020 6:55 PM,Cleaning and upkeeping of COVID19 Isolation ward at Kalyan Mandapam for three months at Amlohri Project / DGM(C)/Aml/20-21/ETN/23 / 2020_NCL_181355_1,Northern Coalfields Limited||Amlori Project,Amlori,Service,Covid ward,361912.7,ADRASH BROTHERS AND CONSTRUCTION,3,,
17-Sep-2020 12:00 AM,28-Aug-2020 2:00 PM,Provn of Improvisation of wards at 169 Military Hospital for COVID-19 Pandemic/ 3032/881 Qtn/JOB/05/E-3 / 2020_MES_372833_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE NC AND CE UDHAMPUR ZONE - MES||CWE RAJOURI - MES||GE 881 EWS - MES,Udhampur,Works,Covid ward,47690,AAA Infrastructures,3,,
