"","Tender_ID","S.No.","AOC.Date","e.Published.Date","Title.and.Ref.No..Tender.Id","State.Name","Organisation.Name","Tender.Ref..No.","Tender.Description","Tender.Type","Number.of.bids.received","Name.of.the.selected.bidder.s.","Address.of.the.selected.bidder.s.","Contract.Value","Tender.Published.Date","Contract.Date","Date.of.Completion.Completion.Period.in.Days","Sno","award_date","Published_date","Title_description","State_name","number_days","day_category"
"1","/ 2020_HBPCL_588030_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36321",2020-09-09,2020-06-24,"Tender No E-2712 /HBPCL/PC/ Liquid Oxygen Plant /2019-20/ Tender No. E-2712 /HBPCL/PC/ Liquid Oxygen Plant / / 2020_HBPCL_588030_1","Maharashtra",77,"(60,Inf]"
"2","169952",15922,2020-03-19,2020-03-17,"Supply and delivery of Sanitizers for Khairthabad Zone, GHMC in view of COVID-2019 (Item No.01)/ 120/EE/CIRCLE-12/KZ/GHMC/2019-20, Dated:17.03.2020 (Item No.01) / 169952","Telegana"," TS Eprocurement "," 120/EE/CIRCLE-12/KZ/GHMC/2019-20, Dated:17.03.2020 (Item No.01) "," Supply and delivery of Sanitizers for Khairthabad Zone, GHMC in view of COVID-2019 (Item No.01) "," 1 ",1," JAIKISHANLAHOTI "," null ",1488968.25," 17-Mar-2020 05:49 PM ",2020-03-19," 19-Mar-2020 01:55 PM ","60624",2020-03-19,2020-03-17,"Supply and delivery of Sanitizers for Khairthabad Zone, GHMC in view of COVID-2019 (Item No01)/ 120/EE/CIRCLE-12/KZ/GHMC/2019-20, Dated:17.03.2020 (Item No.01) / 169952","Telegana",2,"(0,20]"
"3","170729",14368,2020-03-26,2020-03-23,"Construction of Anganwadi Center at Gurubrahma Nagar, Shaikpet in Hyderabad District (Balance work for Construction of AWC)/ Tender Notice No.16-2/EE/TSMSIDC/RR Divn/e-procurement/2019-20   Dt: 23.03.2020 / 170729","Telegana"," TS Eprocurement "," Tender Notice No.16-2/EE/TSMSIDC/RR Divn/e-procurement/2019-20   Dt: 23.03.2020 "," Construction of Anganwadi Center at Gurubrahma Nagar, Shaikpet in Hyderabad District (Balance work for Construction of AWC) "," 1 ",1," J NARASIMHA "," null ",638099.29," 23-Mar-2020 01:08 PM ",2020-03-26," 26-Mar-2020 02:23 PM ","58547",2020-03-26,2020-03-23,"Construction of Anganwadi Center at Gurubrahma Nagar, Shaikpet in Hyderabad District (Balance work for Construction of AWC)/ Tender Notice No16-2/EE/TSMSIDC/RR Divn/e-procurement/2019-20   Dt: 23.03.2020 / 170729","Telegana",3,"(0,20]"
"4","171489",13634,2020-04-08,2020-04-01,"PROCUREMENT OF ADDITIONAL QUANTITY OF DISINFECTANT LIQUIDS TO SPRAY AT PUBLIC PLACES ON DAILY BASIS USING JETTING MACHINES AND MANUAL SPRAYERS TO PREVENT AND CONTAIN SPREAD OF COVID -19 (2nd call)/ 01/E.E.(EVDM)/GHMC/2020-21 Dt:01.04.2020 / 171489","Telegana"," TS Eprocurement "," 01/E.E.(EVDM)/GHMC/2020-21 Dt:01.04.2020 "," PROCUREMENT OF ADDITIONAL QUANTITY OF DISINFECTANT LIQUIDS TO SPRAY AT PUBLIC PLACES ON DAILY BASIS USING JETTING MACHINES AND MANUAL SPRAYERS TO PREVENT AND CONTAIN SPREAD OF COVID -19 (2nd call) "," 1 ",2," Sai Krishna Chemicals "," null ",557514," 01-Apr-2020 07:36 PM ",2020-04-08," 08-Apr-2020 05:55 PM ","57567",2020-04-08,2020-04-01,"PROCUREMENT OF ADDITIONAL QUANTITY OF DISINFECTANT LIQUIDS TO SPRAY AT PUBLIC PLACES ON DAILY BASIS USING JETTING MACHINES AND MANUAL SPRAYERS TO PREVENT AND CONTAIN SPREAD OF COVID -19 (2nd call)/ 01/EE.(EVDM)/GHMC/2020-21 Dt:01.04.2020 / 171489","Telegana",7,"(0,20]"
"5","178715",3115,2020-07-06,2020-06-15,"Providing Aluminum Partitions in the office of the Executive Engineer, TSMSIDC, Hyderabad Division  Over Central Drug Stores (3rd Floor) in the premises of Sarojini Devi Eye Hospital,  Hyderabad/ 1-1/EE/TSMSIDC/Hyd.Divn/2020-21/           Dt:  15.06.2020 / 178715","Telegana"," TS Eprocurement "," 1-1/EE/TSMSIDC/Hyd.Divn/2020-21/           Dt:  15.06.2020 "," Providing Aluminum Partitions in the office of the Executive Engineer, TSMSIDC, Hyderabad Division  Over Central Drug Stores (3rd Floor) in the premises of Sarojini Devi Eye Hospital,  Hyderabad "," 1 ",1," N.Kaladhar Reddy "," null ",566143.39," 15-Jun-2020 05:29 PM ",2020-07-06," 06-Jul-2020 02:45 PM ","39911",2020-07-06,2020-06-15,"Providing Aluminum Partitions in the office of the Executive Engineer, TSMSIDC, Hyderabad Division  Over Central Drug Stores (3rd Floor) in the premises of Sarojini Devi Eye Hospital,  Hyderabad/ 1-1/EE/TSMSIDC/HydDivn/2020-21/           Dt:  15.06.2020 / 178715","Telegana",21,"(20,60]"
"6","179117",2769,2020-07-06,2020-06-17,"Laying of CC Road from H.No:1-3-224 to 1-3-168, EP No.27/112 to 1-3-169/7  Ramchandar Hospital Lane in ward no.27(old) in Bhongir muncipality unde Assistance to ULB and General Fund/ ME/E1/2/4/2020-21 / 179117","Telegana"," TS Eprocurement "," ME/E1/2/4/2020-21 "," Laying of CC Road from H.No:1-3-224 to 1-3-168, EP No.27/112 to 1-3-169/7  Ramchandar Hospital Lane in ward no.27(old) in Bhongir muncipality unde Assistance to ULB and General Fund "," 1 ",1," GODALA SHEKAR REDDY "," null ",945269.92," 17-Jun-2020 09:24 PM ",2020-07-06," 06-Jul-2020 02:26 PM ","39007",2020-07-06,2020-06-17,"Laying of CC Road from HNo:1-3-224 to 1-3-168, EP No.27/112 to 1-3-169/7  Ramchandar Hospital Lane in ward no.27(old) in Bhongir muncipality unde Assistance to ULB and General Fund/ ME/E1/2/4/2020-21 / 179117","Telegana",19,"(0,20]"
"7","179559",2342,2020-06-27,2020-06-20,"Provding Oxygen supply to District Hospital, Sangareddy in Sangareddy 
District/ 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 / 179559","Telegana"," TS Eprocurement "," 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 "," Provding Oxygen supply to District Hospital, Sangareddy in Sangareddy 
District "," 1 ",1," Rameshwar Rao Singam "," null ",703619.11," 20-Jun-2020 11:22 AM ",2020-06-27," 27-Jun-2020 04:52 PM ","37838",2020-06-27,2020-06-20,"Provding Oxygen supply to District Hospital, Sangareddy in Sangareddy \nDistrict/ 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 1706.2020 / 179559","Telegana",7,"(0,20]"
"8","179576",2395,2020-06-27,2020-06-20,"Provding Oxygen supply to Area Hospital, Zaheerabad in Sangareddy 
 District/ 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 / 179576","Telegana"," TS Eprocurement "," 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 "," Provding Oxygen supply to Area Hospital, Zaheerabad in Sangareddy 
 District "," 1 ",1," Rameshwar Rao Singam "," null ",691161.79," 20-Jun-2020 12:03 AM ",2020-06-27," 27-Jun-2020 04:53 PM ","37960",2020-06-27,2020-06-20,"Provding Oxygen supply to Area Hospital, Zaheerabad in Sangareddy \n District/ 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 1706.2020 / 179576","Telegana",7,"(0,20]"
"9","179585",2394,2020-06-27,2020-06-20,"Provding Oxygen supply to Area Hospital, Patancheru in Sangareddy 
 District/ 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 / 179585","Telegana"," TS Eprocurement "," 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 "," Provding Oxygen supply to Area Hospital, Patancheru in Sangareddy 
 District "," 1 ",1," Rameshwar Rao Singam "," null ",691161.79," 20-Jun-2020 12:28 AM ",2020-06-27," 27-Jun-2020 04:53 PM ","37959",2020-06-27,2020-06-20,"Provding Oxygen supply to Area Hospital, Patancheru in Sangareddy \n District/ 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 1706.2020 / 179585","Telegana",7,"(0,20]"
"10","179603",2329,2020-06-26,2020-06-20,"Provding Oxygen supply to Area Hospital, Narayankhed in Sangareddy 
 District/ 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 / 179603","Telegana"," TS Eprocurement "," 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 "," Provding Oxygen supply to Area Hospital, Narayankhed in Sangareddy 
 District "," 1 ",1," PATIL MANIK RAO "," null ",709630.66," 20-Jun-2020 01:04 PM ",2020-06-26," 26-Jun-2020 01:20 PM ","37796",2020-06-26,2020-06-20,"Provding Oxygen supply to Area Hospital, Narayankhed in Sangareddy \n District/ 02/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 1706.2020 / 179603","Telegana",6,"(0,20]"
