"","Sno","award_date","Published_date","Title_description","State_name","Tender_ID","number_days","day_category"
"1","67482",2020-11-09,2020-03-03,"Construction of  CC. Road at Shastri Nagar Bus to Shastri Nagar Hospital Dombivli West/ KDMC/PWD/2019-20/72-3 / 2020_KDMC_559112_1","Maharashtra","2020_KDMC_559112_1",251,"(60,Inf]"
"2","67462",2020-07-24,2020-03-03,"Up gradation of Sanicherra PHC and Laljuri PHC/ EE(EnggCell)/NHM/DNIT/24/2019 20 / 2020_NRHM_8906_1","Tripura","2020_NRHM_8906_1",143,"(60,Inf]"
"3","67463",2020-07-24,2020-03-03,"Upgradation of East Pratapgarh SC and Baishnabtilla SC/ EE(EnggCell)/NHM/DNIT/20/2019 20 / 2020_NRHM_8907_1","Tripura","2020_NRHM_8907_1",143,"(60,Inf]"
"4","67451",2020-07-06,2020-03-03,"Up gradation of Atharabhola PHC and Killa PHC/ EE(EnggCell)/NHM/DNIT/21/2019 20 / 2020_NRHM_8903_1","Tripura","2020_NRHM_8903_1",125,"(60,Inf]"
"5","67452",2020-06-23,2020-03-03,"Up gradation of Halaichari PHC Samrurpar PHC and Muraibari PHC/ EE(EnggCell)/NHM/DNIT/25/2019 20 / 2020_NRHM_8908_1","Tripura","2020_NRHM_8908_1",112,"(60,Inf]"
"6","67397",2020-07-06,2020-03-03,"Construction of drain cover slab and cc road from Dulal Mukherjee house no. 138 to Gopa bari in Ward No-23/ WBMAD/ULB/SDDM/NIT-747/03/2020 / 2020_MAD_276589_2","West Bengal","2020_MAD_276589_2",125,"(60,Inf]"
"7","67353",2020-06-19,2020-03-03,"Improvement of Karmabir Bordoloi Path, Chinaki Path and Kundil Path at Wireless, Rukmini nagar under SOPD (G) for the year 2019/ No CE/CW/ 49/2019-20/(KB Path) / 2020_PWD_16922_1","Assam","2020_PWD_16922_1",108,"(60,Inf]"
"8","67354",2020-06-19,2020-03-03,"Construction of Beltoli Ganesh Mandir Road, Hirimbapur, Odalbakra (from Ch 0.00 M to Ch. 415.00 M) at Odalbakra under SOPD (G) for the year 2019/ No. CE/CW/ 49/2019-20/1(Beltoli) / 2020_PWD_16920_1","Assam","2020_PWD_16920_1",108,"(60,Inf]"
"9","67273",2020-06-19,2020-03-03,"Improvement of Abhay Chandra Dutta lane under SOPD (G) for the year 2019 (From Ch 0.00 M to Ch. 195.00 M)/ No. CE/CW/ 49/2019-20/2(AbahyDuttaPath) / 2020_PWD_16923_1","Assam","2020_PWD_16923_1",108,"(60,Inf]"
"10","67251",2020-06-23,2020-03-03,"Construction of double cell box culvert at Basbari colony of Dhalabil GP under Khowai RD Block/ 72/BC-BB/BADP/EE/RD/ TLM-DIV, Dt27/02/202 / 2020_CERDD_8956_1","Tripura","2020_CERDD_8956_1",112,"(60,Inf]"
