S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'59991.',b'01-Jul-2020 12:00 AM',b'11-May-2020 03:00 PM',b'NABARD RIDF  Venkalapara jn. Vattappara Methappu Thalayankav palam road/ E1/2020-21/AE/LSGD / 2020_LSGD_355830_1',b'Kerala',b'2020_LSGD_355830_1'
b'59992.',b'15-Jul-2020 12:00 AM',b'11-May-2020 03:00 PM',"b'B.T. Renewal in Km. 1 to 7/2 on Semri Dobh road. 1st Call, PAC Rs. 49.00 Lacs on Road SOR 29.08.2017 (Ammendment upto date), Completion period 90 days./ 08/2020/e-Tender/Hbad/Dt. 05.05.2020 / 2020_PWDRB_88251_1'",b'Madhya Pradesh',b'2020_PWDRB_88251_1'
b'59993.',b'01-Jul-2020 12:00 AM',b'11-May-2020 03:00 PM',b'CMLRRP- 2020 -Senapathy gp  Vattappara Kattoothi SC Colony Road/ E1/2020-21/AE/LSGD / 2020_LSGD_355595_6',b'Kerala',b'2020_LSGD_355595_6'
b'59994.',b'01-Jul-2020 12:00 AM',b'11-May-2020 03:00 PM',b'2017-18 MLA ADS KAPPIKKAD ERATHEL PADI ROAD CONSTRUCTION(3685/3)/ E1/2020-21/AE/LSGD / 2020_LSGD_355595_3',b'Kerala',b'2020_LSGD_355595_3'
b'59995.',b'20-May-2020 12:00 AM',b'11-May-2020 02:55 PM',b'Channelization work of bank of Barhi path River  Rapti (Near Origin of Gurra river) of Km 6.50 Village Simrauna Distt- Gorakhpur/ 344/EEBMMD VNS/TD-27/20-21 / 2020_UPIDM_468664_1',b'Uttar Pradesh',b'2020_UPIDM_468664_1'
b'59996.',b'03-Jun-2020 12:00 AM',b'11-May-2020 02:40 PM',b'PROVIDING WATER DISTRIBUTION SYSTEMAT PAKHORATQ GANGAPUR DIST ABAD &amp;#x0d;\nAS PER DETAIL &amp;#x0d;\nESTIMATE\t\t\t\t\t\t&amp;#x0d;/ GP/PAKHORA/PL/2020/VM / 2020_AURAN_575430_2',b'Maharashtra',b'2020_AURAN_575430_2'
b'59997.',b'02-Jun-2020 12:00 AM',b'11-May-2020 02:30 PM',b'Installation of 1500 KVAR Capacitor Bank at 33/11 KV Subsationm Torniya under Seoni Malwa (R) D/c of (O  and M) Dn. Hoshangabad/ EE/STC/Works/20-21/22 Date 11.05.2020 / 2020_MKVVC_88751_1',b'Madhya Pradesh',b'2020_MKVVC_88751_1'
b'59998.',b'01-Jun-2020 12:00 AM',b'11-May-2020 02:30 PM',b'Providing Genrator to Govt Nursary/ Tender No. 5/SDAOKATOL/2019-20 / 2020_DOA_542799_6',b'Maharashtra',b'2020_DOA_542799_6'
b'59999.',b'08-Jun-2020 12:00 AM',b'11-May-2020 02:30 PM',b'Installation of 1500 KVAR Capacitor Bank at 33/11 KV Subsationm Khapariya under Baghwada D/c of (O and M) Dn. Hoshangabad/ EE/STC/Works/20-21/23 Date 11.05.2020 / 2020_MKVVC_88759_1',b'Madhya Pradesh',b'2020_MKVVC_88759_1'
b'60000.',b'02-Jun-2020 12:00 AM',b'11-May-2020 02:30 PM',b'Installation of 1500 KVAR Capacitor Bank at 33/11 KV Subsation Talnagri under Dolariya D/c of (O and M) Dn. Hoshangabad/ EE/STC/Works/20-21/21 Date 11.05.2020 / 2020_MKVVC_88738_1',b'Madhya Pradesh',b'2020_MKVVC_88738_1'
b'59981.',b'15-Jun-2020 12:00 AM',b'11-May-2020 03:30 PM',b'204/20 Mannar GP 2020-21 veroor cheppezhathil road retarring in ward 12 13/ 31/E-TENDER/MNR/20-21 / 2020_LSGD_355776_1',b'Kerala',b'2020_LSGD_355776_1'
b'59982.',b'04-Sep-2020 12:00 AM',b'11-May-2020 03:30 PM',b'AIR COMPRESSOR SEAMLESS METAL PIPE 2ND PIPE/ DMM(T-1)/04/67680/2020/ADVT / 2020_BEST_564063_2',b'Maharashtra',b'2020_BEST_564063_2'
b'59983.',b'07-Aug-2020 12:00 AM',b'11-May-2020 03:00 PM',b'SUPPLY OF FOOD MATERIAL IN SUB JAIL GANJBASODA/ 523/GANJBASODA/FOOD/2020 / 2020_DGPCS_88739_1',b'Madhya Pradesh',b'2020_DGPCS_88739_1'
b'59984.',b'01-Jul-2020 12:00 AM',b'11-May-2020 03:00 PM',b'NABARD RIDF  Venkalapara jn. Vattappara Methappu Thalayankav palam road/ E1/2020-21/AE/LSGD / 2020_LSGD_355830_1',b'Kerala',b'2020_LSGD_355830_1'
b'59985.',b'01-Jul-2020 12:00 AM',b'11-May-2020 03:00 PM',b'CMLRRP- 2020 -Senapathy gp  Vattappara Kattoothi SC Colony Road/ E1/2020-21/AE/LSGD / 2020_LSGD_355595_6',b'Kerala',b'2020_LSGD_355595_6'
b'59986.',b'15-Jul-2020 12:00 AM',b'11-May-2020 03:00 PM',"b'Strengthening of Lohariya village to Tararoda road, 11th Call, PAC Rs. 44.34 Lacs on Road SOR 29.08.2017 (Ammendment upto date), Completion period 180 days./ 08/2020/e-Tender/Hbad/Dt. 05.05.2020 / 2020_PWDRB_88247_1'",b'Madhya Pradesh',b'2020_PWDRB_88247_1'
b'59987.',b'10-Jul-2020 12:00 AM',b'11-May-2020 03:00 PM',"b'Supply of 02 Nos. of Explosive Trace Detector at Dr. Babasaheb Ambedkar International Airport, Nagpur (Third Call)/ CNS-2021-D / 2020_MADC_575451_1'",b'Maharashtra',b'2020_MADC_575451_1'
b'59988.',b'29-May-2020 12:00 AM',b'11-May-2020 03:00 PM',"b'A/mtc. water supply scheme  Rohtak Town, Cleaning of silt from inlet channel of 1st water works including cleaning of culverts, disposal of silt from the site and all other works contingent thereto/ Water Supply SCheme Rohtak Town silt clearance / 2020_HRY_128079_1'",b'Haryana',b'2020_HRY_128079_1'
b'59989.',b'19-Jun-2020 12:00 AM',b'11-May-2020 03:00 PM',"b'CONSTRUCTION  Of  ONE STOP CENTER AT MANDLA, DISTT-MADNLA (MP) i/c water Supply Sanitary and Electrification/ 09/Centralized/2020 Date  08/05/2020 / 2020_PWPIU_88681_1'",b'Madhya Pradesh',b'2020_PWPIU_88681_1'
b'59990.',b'15-Jul-2020 12:00 AM',b'11-May-2020 03:00 PM',"b'B.T. Renewal on Ghoghary Pathai Siddh Baba road. 1st Call, PAC Rs. 78.79 Lacs on Road SOR 29.08.2017 (Ammendment upto date), Completion period 120 days./ 08/2020/e-Tender/Hbad/Dt. 05.05.2020 / 2020_PWDRB_88250_1'",b'Madhya Pradesh',b'2020_PWDRB_88250_1'
b'59971.',b'09-Jul-2020 12:00 AM',b'11-May-2020 04:00 PM',b'WSS to Kozhenchery Replacing the damaged portion of 300mm DI Pumping main with 300mm MS pipe near Kozhenchery Intake well for the commissioning of Kurangumala Water Treatment Plant/ 06/2020-21/EE/PDA / 2020_KWA_355916_1',b'Kerala',b'2020_KWA_355916_1'
b'59972.',b'02-Jan-2021 12:00 AM',b'11-May-2020 04:00 PM',b'Construction of Pahipar link road in gramsabha Gai block Mardah/ Construction of Pahipar link road in / 2020_CEUVZ_468714_1',b'Uttar Pradesh',b'2020_CEUVZ_468714_1'
b'59973.',b'18-Nov-2020 12:00 AM',b'11-May-2020 04:00 PM',"b'e-tender for Construction of new building&amp;#x0d;\nfor Chengottukavu Grama Panchayath&amp;#x0d;\nPrimary Health Centre,Koyilandy&amp;#x0d;\nLA,Kozhikode/ SIDCO/PROC/CONS/CGP/2019-20 / 2020_SIDCO_351922_2'",b'Kerala',b'2020_SIDCO_351922_2'
b'59974.',b'10-Aug-2020 12:00 AM',b'11-May-2020 04:00 PM',"b'Saline Research Road from  0.00 Kmp to 1.395 Km, Widening and Strengthening Work Under South 24 Parganas Highway Division in the District of South 24 Parganas.  2nd call/ WBPWD/PW(R)/SE/SHC/NIT NO-01 OF 2020-21 / 2020_SH_282717_1'",b'West Bengal',b'2020_SH_282717_1'
b'59975.',b'17-Nov-2020 12:00 AM',b'11-May-2020 04:00 PM',b'Improvement of road from Champaknagar to Jampuijala via Belbari Length 13.65 km under CRF Scheme in the State of Tripura Balance Work 5th Call./ 19 /CE/PWD(NH)/CRF/2018 2019 / 2020_CEPWD_9888_1',b'Tripura',b'2020_CEPWD_9888_1'
b'59976.',b'09-Sep-2020 12:00 AM',b'11-May-2020 03:55 PM',"b'Supplying, laying of HDPE pipe line including all necessary valves, specials, accessories at different sites of Zone XV at Chalbalpur new, Zone XVI at Lalbazar and Zone XVII at Adi Kalyaneswari OHR under AMRUT Scheme (Interest Account) within AMC 2nd/ Q 41/WB/AMRUT/AMC/2020-21 / 2020_MAD_282721_2'",b'West Bengal',b'2020_MAD_282721_2'
