S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'34991.',b'11-Aug-2020 12:00 AM',b'13-Jul-2020 01:00 PM',b'Construction of Kitchen and Dining of Premetric Girls I Hostel Agali  Palakkad/ KSNK/TECH/PLKD/AGKD-92(R)/2020 / 2020_KSNK_371492_1',b'Kerala',b'2020_KSNK_371492_1'
b'34992.',b'27-Jul-2020 12:00 AM',b'13-Jul-2020 01:00 PM',b'SALE OF SUGAR/ 2020/07/10/NSRSUGAR/06 / 2020_Coop_50497_1',b'Punjab',b'2020_Coop_50497_1'
b'34993.',b'01-Sep-2020 12:00 AM',b'13-Jul-2020 12:30 PM',"b'Supply Installation and Commissioning of Software Defined Wide Area Network( SDWAN) Solutions in Kerala Police Including State Data Centre, Police Higher Offices and Police Stations/ KPET/02/2020/APB / 2020_KP_371470_2'",b'Kerala',b'2020_KP_371470_2'
b'34994.',b'22-Jul-2020 12:00 AM',b'13-Jul-2020 12:10 PM',b'SUGAR SALE 1000 QTL/ BUDHEWAL13072020 / 2020_Coop_50486_1',b'Punjab',b'2020_Coop_50486_1'
b'34995.',b'02-Sep-2020 12:00 AM',b'13-Jul-2020 12:00 PM',b'Construction of ESR for Prabhag No.15 Under Nagari Dalit Wasti Sudhar Yojana N.P.Lakhandur/ WaterTank_2020 / 2020_DMA_593494_1',b'Maharashtra',b'2020_DMA_593494_1'
b'34996.',b'29-Aug-2020 12:00 AM',b'13-Jul-2020 12:00 PM',b'P/L Interlocking Tiles 60mm thicks and Drinas Near S.Soldier School to BLO H/O Lakhbir Singh in  ward No.5/ E-tender/2020-21/01 / 2020_DLG_50475_28',b'Punjab',b'2020_DLG_50475_28'
b'34997.',b'29-Aug-2020 12:00 AM',b'13-Jul-2020 12:00 PM',b'P/L Interlocking Tiles 60mm thicks and Drinas Babla Photographer to H/O Harbans Lal Bhatti in ward No.5/ E-tender/2020-21/01 / 2020_DLG_50475_27',b'Punjab',b'2020_DLG_50475_27'
b'34998.',b'10-Aug-2020 12:00 AM',b'13-Jul-2020 12:00 PM',"b'Providing Temp Illumination for Independence Day on 15 th August 2020 on Dome and Tower Building at Navin Vidhan Bhavan,Mumbai/ Est No 9003 Temp Illumination at New Vidhan Bhavan / 2020_PWDM_593759_1'",b'Maharashtra',b'2020_PWDM_593759_1'
b'34999.',b'29-Sep-2020 12:00 AM',b'13-Jul-2020 12:00 PM',b'New LED Street Light Point Compleet Set in SDM Office Hoshiarpur road to Oasis Hotal Garhshankar/ E-tender/2020-21/01 / 2020_DLG_50475_33',b'Punjab',b'2020_DLG_50475_33'
b'35000.',b'10-Aug-2020 12:00 AM',b'13-Jul-2020 12:00 PM',"b'CONSTRUCTION OF SCIENCE LAB, LIBRARY ROOM, ART AND CRAFT ROOM AT BLOCK DHARI NAINITAL/ 364 dated 10-07-2020 / 2020_RES_24921_1'",b'Uttarakhand',b'2020_RES_24921_1'
b'34981.',b'30-Jul-2020 05:01 PM',b'13-Jul-2020 01:14 PM',"b'Supply Delivery and installation  of  (16) nos Pre-fabricated Modular Male and Female Toilets at ward 105 Gachibowli in Serilingampally  DIV20 in SLP Zone, GHMC(Item 2)/ 16/EE/CIR-20/SLPZ/GHMC/1-3/2020-21 Dt:10.07.2020 / 184936'",b'Telegana',b'184936'
b'34982.',b'30-Jul-2020 05:03 PM',b'13-Jul-2020 01:10 PM',"b'Supply Delivery and installation  of  (16) nos Pre-fabricated Modular Male and Female Toilets at ward 104 Kondapur in Serilingampally  DIV20 in SLP Zone, GHMC(Item 1)/ 16/EE/CIR-20/SLPZ/GHMC/1-3/2020-21 Dt:10.07.2020 / 184933'",b'Telegana',b'184933'
b'34983.',b'28-Jul-2020 02:13 PM',b'13-Jul-2020 01:07 PM',b'Laying of CC patch works in Pranav Valley of Bachupally in Nizampet Municipal Corporation under Municipal General Funds for the year 2019-20./ E1/1920/2019-20 / 184930',b'Telegana',b'184930'
b'34984.',b'24-Jul-2020 12:00 AM',b'13-Jul-2020 01:00 PM',b'Supply of Material for GP DHANOLI Year 2020-2021/ PSMOUDA/DHANOLI/2020/21/114 / 2020_NAGPU_593899_1',b'Maharashtra',b'2020_NAGPU_593899_1'
b'34985.',b'14-Jul-2020 12:00 AM',b'13-Jul-2020 01:00 PM',b'SALE OF SUGAR/ NKD/Sugar Sale/47 / 2020_Coop_50493_1',b'Punjab',b'2020_Coop_50493_1'
b'34986.',b'07-Aug-2020 12:00 AM',b'13-Jul-2020 01:00 PM',"b'WORK OF CONSTRUCTION OF LT/11 KV LINE FOR RELEASING NEW CONNECTIONS AND ADDITIONAL LOAD AGAINST SANCTIONED PACKAGES UNDER THE JURISDICTION OF ELECTRICITY URBAN DISTRIBUTION DIVISION-I,  MORADABAD (IN DEPOSIT SCHEME).&amp;#x0d;\n&amp;#x0d;/ ST/05/EUDC(MBD)/2020-21 / 2020_PVVNL_492455_1'",b'Uttar Pradesh',b'2020_PVVNL_492455_1'
b'34987.',b'11-Aug-2020 12:00 AM',b'13-Jul-2020 01:00 PM',b'Construction of Kitchen and Dining of Premetric Girls I Hostel Agali  Palakkad/ KSNK/TECH/PLKD/AGKD-92(R)/2020 / 2020_KSNK_371492_1',b'Kerala',b'2020_KSNK_371492_1'
